blue; azzurro	
Sunday; domenica
January; gennaio
February; febbraio
March; marzo
April; aprile
May; maggio
June; giugno
July; luglio
August; agosto
September; settembre
October; ottobre
November; novembre
December; dicembre
day; il giorno
weekend; il fine settimana
week; la settimana
fortnight; due settimane
quarter; il trimestre
month; il mese
year; l’anno m
decade; il decennio
daily; giornaliero
weekly; settimanale
fortnightly; bimensile
monthly; mensile
yearly; annuale
on Mondays; di lunedì
every Sunday; ogni domenica
last Thursday; giovedì scorso
next Friday; venerdì prossimo
the week before/after; la settimana prima / dopo
in February; a febbraio
in 2018; nel 2018
in the ’80s; negli anni ’80
spring; la primavera
summer; l’estate f
autumn; l’autunno m
winter; l’inverno m
in spring/winter; in primavera / inverno
weather; il tempo
How’s the weather?; Che tempo fa?
What’s the forecast for today/tomorrow?; Quali sono le previsioni metereologiche per oggi / domani?
How warm/cold is it?; Quanto è caldo / freddo?
Is it going to rain?; Sta per piovere?
What a lovely day!; Che bella giornata!
What awful weather!; Che brutto tempo!
It’s raining/windy/foggy.; È piovoso / ventoso / nebbioso
It’s sunny.; C’è il sole
It’s cloudy.; È nuvoloso
It’s misty.; C’è foschia
It’s freezing.; C’è il gelo
It’s snowing.; Nevica
It’s stormy.; C’è la bufera
It’s changeable.; È mutevole
It is...; È…
nice; bello
horrible; brutto
hot; caldo
warm; tiepido
cool; fresco
wet; bagnato
humid; umido
mild; mite
temperature; la temperatura
sun; il sole
rain; la pioggia
snow; la neve
hail; la grandine
ice; il ghiaccio
wind; il vento
gale; il vento forte
mist; la foschia
fog; la nebbia
numbers; i numeri
thunder; il tuono
lightning; il fulmine
thunderstorm; il temporale
cloud; la nuvola
1; uno 
2; due 
3; tre
4; quattro
5; cinque 
6; sei
7; sette 
8; otto 
9; nove
10; dieci 
11; undici 
12; dodici 
13; tredici
14; quattordici
15; quindici
16; sedici
17; diciassette
18; diciotto
19; diciannove
20; venti
30; trenta
40; quaranta
50; cinquanta
60; sessanta
70; settanta
80; ottanta
90; novanta
100; cento
1 000; mille
1 000 000; un milione
transport; mezzi di trasporto
helicopter; l’elicottero m
rotor; il rotore
blade; la pala
cockpit; la cabina di pilotaggio
nose; la prua
tail; la coda
street; la strada
commuter; il pendolare
driver; l’autista m / l’autista f
passenger; il passeggero
pedestrian; il pedone
traffic; il traffico
traffic jam; l’ingorgo stradale m
rush hour; l’ora di punta f
public transport; il trasporto pubblico
taxi; il taxi
taxi rank; la stazione dei taxi
road sign; la segnaletica stradale
directions; le direzioni stradali
route; l’itinerario m
to walk; camminare
to drive; guidare
to return; ritornare
to cross; attraversare
to turn; girare
to commute; fare il pendolare
to take a taxi; prendere un taxi
map; la mappa
ticket; il biglietto
timetable; l’orario m
car; la macchina
people carrier; il monovolume
caravan; il caravan
motorhome; il camper
passenger seat; il sedile passeggero
driver’s seat; il posto di guida
back seat; il sedile posteriore
child seat; il seggiolino per bambini
roof rack; il portapacchi
sunroof; il tettuccio apribile
automatic (car); la (macchina) automatica
electric (car); la (macchina) elettrica
hybrid (car); la (macchina) ibrida
engine; il motore
battery; la batteria
brake; i freni
accelerator; l’acceleratore m
boot; il portabagagli
roof; il tettuccio
window; il finestrino
wheel; la ruota
door; la portiera
air conditioning; l’aria condizionata f
clutch; la frizione
cruise control; la regolazione automatica della velocità
exhaust (pipe); il tubo di scappamento
fuel tank; il serbatoio del carburante
gearbox; il cambio
transmission; la trasmissione
wing; l’ala f
tyre; il pneumatico
bonnet; il cofano
windscreen wiper; il tergicristallo
windscreen; il parabrezza
Breathalyser; l’etilometro m
to start the engine; accendere il motore
to brake; frenare
to overtake; sorpassare
to park; parcheggiare
to reverse; fare retromarcia
to slow down; rallentare
to speed up; accelerare
to stop; fermarsi
wing mirror; lo specchietto laterale
headlight; il fanale anteriore
bumper; il paraurti
number plate; il numero di targa
indicator; la freccia
dashboard; il cruscotto
fuel gauge; l’indicatore del carburante m
gearstick; il cambio
glove compartment; il vano portaoggetti
handbrake; il freno a mano
headrest; il poggiatesta
ignition; l’accensione f
rearview mirror; lo specchietto retrovisore
sat nav; il navigatore
seatbelt; la cintura di sicurezza
speedometer; il tachimetro
steering wheel; il volante
driving; guidare
single-track road; la strada a una sola corsia
corner; la curva
exit; l’uscita f
slip road; la rampa d’accesso
layby; la piazzola di sosta
speed limit; il limite di velocità
diversion; la deviazione stradale
driving licence; la patente
car registration document; il documento di immatricolazione della macchina
car insurance; l’assicurazione stradale f
car hire/rental; l’autonoleggio m
unleaded petrol; la benzina senza piombo
diesel; il diesel
roadworks; i lavori stradali
accessible parking space; il parcheggio accessibile
bridge; il ponte
car park; il parcheggio
car wash; l’autolavaggio m
fuel pump; la pompa di benzina
junction; il bivio
kerb; il cordolo
lane; la corsia
level crossing; il passaggio a livello
motorway; l’autostrada f
parking meter; il parchimetro
parking space; il parcheggio
pavement; il marciapiede
petrol station; il benzinaio
pothole; la buca
road; la strada
roundabout; la rotonda
speed camera; l’autovelox m
toll point; il casello autostradale
traffic cone; il cono di traffico
traffic lights; il semaforo
traffic warden; l’ausiliare del traffico m / l’ausiliare del traffico f
tunnel; il tunnel
zebra crossing; le strisce pedonali
car trouble; problemi con la macchina
accident; l’incidente m
breakdown; il guasto
collision; la collisione
flat tyre; la ruota bucata
to break down; avere un guasto
to have an accident; avere un incidente
to have a flat tyre; avere una ruota bucata
to change a tyre; cambiare la ruota
to tow; trascinare a rimorchio
airbag; l’airbag m
antifreeze; l’antigelo m
emergency phone; il telefono d’emergenza
garage; l’autofficina f
hi-viz vest; il giubbotto ad alta visibilità
jack; il martinetto
jump leads; i cavi di avviamento
mechanic; il meccanico
snow chains; le catene da neve
spare wheel; la ruota di scorta
tow truck; il carro attrezzi
warning triangle; il triangolo di segnalazione
bus; l’autobus
bus route; l’itinerario degli autobus m
bus lane; la corsia preferenziale
bus stop; la fermata dell’autobus
bus station; la stazione degli autobus
bus pass; l’abbonamento dell’autobus m
fare; la tariffa
full/half fare; il biglietto a prezzo pieno / a metà prezzo
concession; il biglietto agevolato
wheelchair access; l’accesso per sedia a rotelle m
shuttle bus; l’autobus navetta m
school bus; lo scuolabus
tour bus; l’autobus turistico m
to catch the bus; prendere l’autobus
bus; l’autobus m
bus shelter; la fermata dell’autobus
coach; il pullman
minibus; il minibus
tram; il tram
trolley bus; il filobus
bicycle; la bicicletta
cyclist; il / la ciclista
mountain bike; la mountain bike
road bike; la bicicletta da strada
bike stand; il cavalletto
bell; il campanello
bike lock; il lucchetto per bici
bicycle brake; il freno
handlebars; il manubrio
gears; le marce
crossbar; il tubo orizzontale
bike rack; la rastrelliera per bici
child seat; il seggiolino per bambini
cycle lane; la pista ciclabile
puncture repair kit; il kit di riparazione per le forature
front light; la luce anteriore
helmet; il casco 
saddle; il sellino
frame; il telaio
pedal; il pedale
cycling shorts; i pantaloncini da ciclismo
to get a puncture; bucare
to cycle; pedalare
to go for a bike ride; andare a fare un giro in bicicletta
pump; la pompa per bicicletta
reflector; il catarifrangente
chain; la catena
tyre; il pneumatico
wheel; la ruota
motorbike; la motocicletta
motorcyclist; il / la motociclista
moped; il motorino
scooter; lo scooter
fuel tank; il serbatoio del carburante
handlebars; il manubrio
headlight; il fanale anteriore
mudguard; il parafango
exhaust pipe; il tubo di scappamento
kickstand; il cavalletto
boots; gli stivali
crash helmet; il casco protettivo
helmet cam; la videocamera da casco
leather gloves; i guanti di pelle
leather jacket; la giacca di pelle
motorbike; la moto
rail travel; la ferrovia
rail network; la rete ferroviaria
high-speed train; il treno ad alta velocità
passenger train; il treno passeggeri
freight train; il treno merci
sleeper; il vagone letto
line; la linea
metro station; la stazione di metropolitana
left luggage; il deposito bagagli
railcard; l’abbonamento ferroviario m
single ticket; il biglietto di sola andata
return ticket; il biglietto di andata e ritorno
e-ticket; il biglietto elettronico
first-class; di prima classe
quiet coach; la carrozza silenziosa
seat reservation; il posto prenotato
to change trains; cambiare treno
to validate a ticket; obliterare un biglietto
carriage; la carrozza
couchette; la cuccetta
departure board; il tabellone delle partenze
guard; la guardia
light railway; la metropolitana leggera
locomotive; la locomotiva
luggage rack; il ripiano portabagagli
metro; la metropolitana
platform; il binario
porter; il facchino
restaurant car; il vagone ristorante
refreshments trolley; il carrello
signal box; la cabina di manovra
sliding doors; le porte scorrevoli
ticket barrier; il tornello
ticket machine; la biglietteria automatica
ticket office; la biglietteria
track; il binario
train; il treno
train station; la stazione ferroviaria
validation machine; l’obliteratrice f
air travel; trasporto aereo
aeroplane; l’aeroplano m
wing; l’ala f
fuselage; la fusoliera
engine; il motore
airline; la linea aerea
terminal; il terminal
Arrivals/Departures; gli arrivi / le partenze
security; il controllo di sicurezza
passport control; il controllo passaporti
customs; la dogana
cabin crew; l’equipaggio m
business class; la business class
economy class; l’economy class f
aisle; il corridoio
tray table; il tavolino
overhead locker; la cappelliera
seatbelt; la cintura di sicurezza
hold; la stiva
hold luggage; il bagaglio che ha passato il controllo di sicurezza
excess baggage; il bagaglio in eccesso
hand/cabin baggage; il bagaglio a mano
connecting flight; la coincidenza
jetlag; il jetlag
to check in (online); effettuare il check-in (online)
aeroplane; l’aeroplano m
airport; l’aeroporto m
baggage reclaim; il ritiro bagagli
boarding card; la carta d’imbarco
cabin; la cabina
check-in desk; il check-in
cockpit; la cabina di pilotaggio
departure board; il tabellone delle partenze
duty-free shop; il duty free
holdall; la borsa da viaggio
luggage trolley; il carrello portabagagli
passport; il passaporto
pilot; il pilota / la pilota
runway; la pista
suitcase; la valigia
ferry and boat travel; muoversi per traghetto e nave
ferry crossing; la traversata in traghetto
ferry terminal; il terminal dei traghetti
car deck; il ponte garage
deck; il ponte
lifeboat; la scialuppa di salvataggio
stern; la poppa general
anchor; l’ancora f
buoy; la boa
gangway; la passerella
bow; la prua
porthole; l’oblò m
funnel; il fumaiolo
pier; il pontile
port; il porto
canal; il canale
lock; la chiusa
harbour; il porto
jetty; il molo
lifebuoy; il salvagente
coastguard; la guardia costiera
captain; il capitano
crew l’equipaggio m; to board
salire a bordo di; to sail navigare
to dock; entrare in porto
lifejacket; il giubbotto di salvataggio
marina; il porticciolo
mooring; l’ormeggio m
canal boat; la chiatta
canoe; la canoa
ferry; il traghetto
inflatable dinghy; il canotto
kayak; il kayak
liner; il transatlantico
rowing boat; la barca a remi
sailing boat; la barca a vela
yacht; lo yacht
in the home; a casa
block of flats; il condominio
roof; il tetto
balcony; il balcone
window; la finestra
villa; la villa
townhouse; la casa in città
building; il palazzo
address; l’indirizzo m
suburb; il sobborgo
district; il quartiere
estate agent; l’agente immobiliare m
apartment block; il condominio
bungalow; il bungalow
landlord; il proprietario
landlady; la proprietaria
tenant; l’affittuario m
neighbour; il vicino di casa / la vicina di casa
mortgage; il mutuo
rent; l’affitto m
detached house; il villino
farmhouse; la fattoria
holiday let; la casa vacanza
to rent; affittare
to own; possedere
to live; vivere
to move house; cambiare casa
to build a house; costruire una casa
semi-detached house; la casa bifamiliare
studio flat; il monolocale
the house; la casa
room; la stanza
cellar; la cantina
attic; la mansarda
ceiling; il soffitto
wall; il muro
floor; il pavimento
battery; la batteria
plug; la spina
boiler; la caldaia
ceiling fan; il ventilatore da soffitto
extension cable; la prolunga
fusebox; il quadro elettrico
adaptor; l’adattatore m
socket; la presa
electricity; l’elettricità f
air conditioning; l’aria condizionata f
central heating; il riscaldamento centralizzato
satellite dish; l’antenna parabolica f
porch; il portico
heater; la stufa
light bulb; la lampadina
meter; il contatore
radiator; il termosifone
back door; la porta sul retro
French windows; la porta finestra
balcony; il balcone
skylight; il lucernario
power cut; il blackout
to fix; riparare
to decorate; dipingere
to renovate; ristrutturare
security alarm; l’allarme di sicurezza m
smoke alarm; il rilevatore di fumo
thermostat; il termostato
wood-burning stove; la stufa a legna
gate; il cancello
shutter; la serranda
window; la finestra
roof; il tetto
chimney; il comignolo
aerial; l’antenna f
gutter; la grondaia
drainpipe; il tubo di scarico
gable; il timpano
front door; la porta d’ingresso
garage; il garage
driveway; il viale
doorway; l’entrata f
corridor; il corridoio
hallway; l’ingresso m
landing; il pianerottolo
stairwell; la tromba delle scale
staircase; la scala
lift; l’ascensore m
doormat; lo zerbino
key; la chiave
to buzz somebody in; far entrare qualcuno
to wipe one’s feet; pulirsi le scarpe
to hang one’s jacket up; appendere la giacca
doorbell; il campanello
intercom; il citofono
letterbox; la cassetta della posta
the lounge; il salotto
carpet; il tappeto
floorboard; l’asse del pavimento f
suite; la suite
sofa bed; il divano letto
table lamp; la lampada da tavolo
bookcase; la libreria
curtains; le tende
display cabinet; l’armadio espositivo m
wall light; la luce a muro
TV; il televisore
fireplace; il camino
home entertainment system; l’home theater m
cable TV; la televisione via cavo
satellite TV; la televisione satellitare
smart TV; la smart TV
DVD / Blu-ray player; il lettore DVD / Blu-ray
radio; la radio
remote control; il telecomando
coffee table; il tavolino
sofa; il divano
picture; il quadro
TV on demand; la TV on demand
to relax; rilassarsi
to sit down; sedersi
to watch TV; guardare la televisione
sideboard; la credenza
TV stand; il porta TV
Venetian blind; la tenda veneziana
ornament; il soprammobile
shelves; lo scaffale
armchair; la poltrona
footstool; il poggiapiedi
rug; il tappeto
cushion; il cuscino
the kitchen; la cucina
electric cooker; il fornello elettrico
gas cooker; il fornello a gas
cooker hood; la cappa
kettle; il bollitore
to cook; cucinare
to wash up; lavare i piatti
to clean the worktops; pulire il ripiano della cucina
to put away the groceries; sistemare la spesa
aluminium foil; la carta d’alluminio
bin bag; il sacco della spazzatura
kitchen utensils; baking tray la teglia
cafetière; la caffettiera
casserole dish; la casseruola
chopping board; il tagliere
bread bin; il portapane
clingfilm; la pellicola
coffee pot; la macchina da caffè
colander; lo scolapasta
corkscrew; il cavatappi
food processor; il frullatore
kitchen roll; la carta da cucina
pedal bin; la pattumiera a pedale
frying pan; la padella
grater; la grattugia
hand mixer; il frullatore
herb chopper; la mezzaluna
ladle; il mestolo
masher; lo schiacciapatate
measuring jug; il recipiente graduato
mixing bowl; la scodella
pasta machine; la macchina per la pasta
the kitchen sink; il lavello
oven; il forno
hob; il piano cottura
microwave; il microonde
spotlight; il faretto
peeler; il pelapatate
rolling pin; il mattarello
saucepan; la pentola
sieve; il colino
spatula; la spatola
fridge-freezer; il frigorifero con congelatore
cupboard; la credenza
tap; il rubinetto
draining board; lo scolapiatti
tin opener; l’apriscatole m
toaster; il tostapane
whisk; la frusta
wok; il wok
wooden spoon; il cucchiaio di legno
drawer; il cassetto
worktop; il ripiano
tiles; le piastrelle
the dining room; la sala da pranzo
dining table; la tavola
place mat; la tovaglietta
coaster; il sottobicchiere
gravy boat; la salsiera
napkin; il tovagliolo
bowl; l’insalatiera f
champagne flute; il flute da spumante
cup and saucer; la tazza e il piattino
crockery; le stoviglie
cutlery; le posate
glassware; la cristalleria
pepper mill; il macinapepe
salad bowl; l’insalatiera f
knife and fork; il coltello e la forchetta
plate; il piatto
spoon; il cucchiaio
to set the table; apparecchiare
to dine; cenare
to clear the table; sparecchiare
salt cellar; la saliera
serving dish; il piatto da portata
teaspoon; il cucchiaino
tumbler; il bicchiere
wine glass; il calice da vino
the bedroom; la stanza da letto
single bed; il letto singolo
double bed; il letto matrimoniale
master bedroom; la camera da letto
spare bedroom; la camera degli ospiti
en-suite bathroom; il bagno privato
nursery; la stanza dei bambini
bedding; la biancheria da letto
to go to bed; andare a letto
to sleep; dormire
to wake up; svegliarsi
to make the bed; fare il letto
to change the sheets; cambiare le lenzuola
blanket; la coperta
bunk beds; i letti a castello
clock radio; la radiosveglia
bedroom mirror; lo specchio
chest of drawers; la cassettiera
bed; il letto
wardrobe; l’armadio m
coat hanger; la gruccia
dressing table; il comò
hairdryer; l’asciugacapelli m
duvet; il piumone
curtains; le tende
armchair; la poltrona
bedside lamp; l’abat-jour m
laundry basket; il cesto della biancheria
quilt; la trapunta
sheets; le lenzuola
rug; il tappeto
pillow; il cuscino
mattress; il materasso
bedside table; il comodino
the bathroom; il bagno
shower curtain; la tenda da doccia
toilet seat; il sedile del gabinetto
toiletries; gli articoli per l’igiene personale
general; bath mat
il tappetino da bagno; bath towel l’asciugamano da bagno m
face cloth; l’asciugamano per il viso m
bathroom mirror; lo specchio
wash-hand basin; il lavandino
shower; la doccia
toilet; il gabinetto
drain; lo scarico
to shower; fare la doccia
to have a bath; farsi un bagno
hand towel; l’asciugamano per le mani m
shower puff; la spugna per la doccia
soap; il sapone
towel rail; il portasciugamani
tap; il rubinetto
cabinet; l’armadietto m
to wash one’s hands; lavarsi le mani
to brush one’s teeth; lavarsi i denti
to go to the toilet; andare al gabinetto
sponge; la spugna
toilet brush; lo scopino del water
toilet roll; il rotolo di carta igienica
bidet; il bidè
shower screen; lo schermo doccia
bath; la vasca da bagno
the garden; il giardino
tree; l’albero m
soil; il terreno
grass; l’erba f
plant; la pianta
weed; l’erbaccia f
decking; il pavimento in legno
garden fork; il rastrello
garden hose; il tubo da giardino
gardening gloves; i guanti da giardinaggio
garden shed; il capanno da giardino
greenhouse; la serra
flowerbed; l’aiuola f
compost; il concime
allotment; il lotto di terreno
gardener; il giardiniere
hoe; la zappa
lawnmower; il tagliaerba
parasol; il parasole
plant pot; il vaso
pruners; le cesoie da giardiniere
spade; la vanga
to weed; rimuovere le erbacce
to water; annaffiare
to grow; coltivare
to plant; piantare
trowel; la paletta da giardiniere
watering can; l’annaffiatoio m
weedkiller; il diserbante
Wellington boots; gli stivali di gomma
wheelbarrow; la carriola
windowbox; la fioriera
trellis; il traliccio
lawn; il prato
shrub; il cespuglio
gate; il cancello
fence; lo steccato
birdbox; la casetta per gli uccelli
garden furniture; l’arredamento da giardino m
path; il sentiero
flowers; i fiori
patio; il patio
flowerpot; il vaso da fiori
housework; le faccende di casa
utility room; il ripostiglio
household appliances; gli elettrodomestici
chores; le faccende
wastepaper basket; il cestino della spazzatura
basin; la bacinella
bleach; la candeggina
disinfectant; il disinfettante
dishwasher tablet; la pastiglia per la lavastoviglie
laundry detergent; il detersivo per il bucato
washing-up liquid; il detersivo per i piatti
to sweep the floor; spazzare il pavimento
to do the laundry; fare il bucato
to hoover passare; l’aspirapolvere
to tidy up; mettere a posto
to clean; pulire
to take out the bin; portare fuori la spazzatura
brush; la scopa
bucket; il secchio
cloth; lo straccio
clothes horse; lo stendino
clothes pegs; le mollette da bucato
dishwasher; la lavastoviglie
dustbin; il bidone della spazzatura
dustpan; la paletta per la spazzatura
iron; il ferro da stiro
ironing board; la tavola da stiro
mop; il mocio
rubber gloves; i guanti di gomma
scourer; la spugna
tea towel; lo strofinaccio
tumble drier; l’asciugatrice f
vacuum cleaner; l’aspirapolvere f
washing line; il filo del bucato
washing machine; la lavatrice
at the shops; nei negozi
basket; il cestino
banana; la banana
bread; il pane
vegetable oil; l’olio vegetale m
shop; il negozio
shopping centre; il centro commerciale
supermarket; il supermercato
market; il mercato
shop assistant; il commesso / la commessa
cash; i contanti
change; il resto
gift voucher; il buono acquisto
PIN; il pin
exchange; il cambio
refund; il rimborso
voucher; il buono
contactless; contactless
to browse; curiosare
to buy; acquistare
to pay; pagare
to shop (online); fare compere (online)
to do the shopping / go shopping; andare a fare shopping
banknotes; le banconote
card reader; il lettore carte di credito
coins; le monete
debit/credit card; la carta di debito / credito
paper bag; la busta di carta
plastic bag; la busta di plastica
receipt; la ricevuta
reusable shopping bag; la busta riciclabile
till point; la cassa
supermarket; al supermercato
groceries; le cibarie
aisle; il corridoio
delicatessen; il negozio di gastronomia
ready meal; il cibo pronto
bottle; la bottiglia
box; la scatola
basket; il cestino
biscuits; i biscotti
couscous; il couscous
herbs; le erbe aromatiche
honey; il miele
icing sugar; lo zucchero a velo
carton; la confezione
jar; il vasetto
multipack; confezione multipla f
packet; il pacchetto
tin; il barattolo
tinned; in scatola
scales; la bilancia
instant coffee; il caffè solubile
jam; la marmellata
ketchup; il ketchup
marmalade; la marmellata di agrumi
fresh; fresco
frozen; congelato
dairy; ricavato dal latte
low-fat; a basso contenuto di grassi
low-calorie; a basso contenuto calorico
trolley; il carrello
mayonnaise; la maionese
noodles; i noodles
olive oil; l’olio di oliva m
pasta; la pasta
pepper; il pepe
rice; il riso
salt; il sale
chocolate; la cioccolata
crisps; le patatine fritte
beer; la birra
fizzy drink; la bevanda gassata
spices; le spezie
sugar; lo zucchero
teabags; le bustine di tè
nuts; la frutta secca
olives; le olive
fruit juice; il succo di frutta
spirits; i superalcolici
vegetable oil; l’olio vegetale m
vinegar; l’aceto m
popcorn; i popcorn
sweets; le caramelle
still/sparkling water; l’acqua liscia / gassata f
wine; il vino
market; al mercato
marketplace; il mercato
traditional production; la produzione tradizionale
flea market; il mercatino
indoor market; il mercato coperto
farmer’s market; il mercato degli agricoltori
stall; la bancarella
trader; il commerciante
produce; i prodotti
local; locale
organic; biologico
seasonal; stagionale
home-made; casereccio
fruit and vegetables; frutta e verdura
grocer; il fruttivendolo
juice; il succo
leaf; la foglia
peel; la buccia
pip; il seme
rind; la scorza
seed; il seme
fruit; apple
la mela; apricot l’albicocca f
banana; la banana
blackberry; la mora
segment; lo spicchio
skin; la buccia
stone; il nocciolo
raw; crudo
fresh; fresco
rotten; marcio
seedless; senza semi
blueberry; il mirtillo
cherry; la ciliegia
fig; il fico
grape; l’uva f
ripe; maturo
unripe; acerbo
to chop; sminuzzare
to dice; tagliare a dadini
to grate; grattugiare
to juice; spremere
to peel; sbucciare
grapefruit; il pompelmo
kiwi fruit; il kiwi
lemon; il limone
mango; il mango
melon; il melone
nectarine; la pescanoce
orange; l’arancia f
passion fruit; il frutto della passione
artichoke; il carciofo
asparagus; l’asparago m
aubergine; la melanzana
broad beans; le fave
broccoli; il broccolo
cabbage; il cavolo
carrot; la carota
cauliflower; il cavolfiore
peach; la pesca
pear; la pera
pineapple; l’ananas m
plum; la susina
celery; il sedano
chilli; il peperoncino
courgette; la zucchina
cucumber; il cetriolo
garlic; l’aglio m
green beans; i fagiolini
leek; il porro
mushroom; il fungo
